income,age,debt_ratio,employment,region,target
85000,55,0.25,employed,north,0
72000,48,,employed,south,0
68000,45,0.30,self_employed,east,0
63000,42,0.35,employed,west,0
58000,40,,employed,north,0
52000,38,0.40,employed,south,0
48000,35,,self_employed,east,0
45000,33,0.28,employed,west,0
40000,32,,employed,north,0
78000,50,0.22,employed,south,0
62000,44,,employed,east,0
55000,37,0.32,self_employed,west,0
18000,24,,unemployed,south,1
22000,26,0.78,unemployed,north,1
15000,22,,unemployed,west,1
28000,30,0.82,employed,east,1
12000,20,,unemployed,north,1
25000,28,0.70,unemployed,south,1
35000,31,,self_employed,west,1
20000,25,0.88,unemployed,east,1
